omm_id	fecha	tmax	tmin	tmed	td	pres_est	pres_nm	prcp	hr	helio	nub	vmax_d	vmax_f	vmed	estado	num_observaciones
87576	2020-01-01	28.2	18.3	21.8	17.6	1011.4	1013.8	0	78	8	5	14	9.8	4	V	3
87576	2020-01-02	27.3	16.9	22.5	17	1015.4	1017.7	0	73	11.2	4	9	10.3	5.1	V	3
87576	2020-01-03	30.4	17.7	23.6	16.2	1016.9	1019.3	0	67	12.6	2	7	10.3	4.5	V	3
87576	2020-01-04	29.9	18.2	25.1	15.2	1010.9	1013.3	0	56	9.8	3	2	9.8	5	V	3
87576	2020-01-05	30.9	17.9	25.9	16.5	1001.8	1004.2	6	59	6.5	4	27	17	3.1	V	3
87576	2020-01-06	27.9	15.9	20.7	13.9	1001.5	1003.9	0	69	6	6	23	17.5	4.6	V	3
87576	2020-01-07	30.9	12.7	22.7	10.8	1005.5	1007.9	0	52	7.8	1	32	11.3	3.9	V	3
87576	2020-01-08	33.4	20.4	27.5	12.5	1003.8	1006.1	0	41	11	2	2	12.9	4.4	R	3
87576	2020-01-09	30.4	21.9	25.5	15.3	1004.8	1007.1	0	54	5.2	5	18	13.4	2.4	V	3
87576	2020-01-10	31.9	16.8	24.2	15.9	1008	1010.3	0	63	6.1	4	20	8.2	2.6	V	3
87576	2020-01-11	32.8	14.7	25.2	15.1	1009.1	1011.5	0	58	11.3	1	32	9.8	2.6	V	3
87576	2020-01-12	32	16.9	24.4	13.4	1013.2	1015.5	0	52	6.4	4	11	12.3	4.5	V	3
87576	2020-01-13	31.9	16.6	24.5	13.3	1012.7	1015	0	54	9.6	4	7	13.4	5.8	V	3
87576	2020-01-14	31.6	19.9	26.3	20	1004.2	1006.5	105	69	5.2	4	5	15.9	4.6	R	3
87576	2020-01-15	28.7	19.9	23.9	19.6	1001.9	1004.3	0.2	79	5.9	5	20	21.1	2.8	V	3
87576	2020-01-16	25.2	9.1	18.7	8.3	1016.5	1018.9	0	53	10	0	34	7.7	2.1	V	4
87576	2020-01-17	27.4	11.9	21.3	11.5	1018.2	1020.5	0.1	55	8.6	1	9	8.7	3.1	V	4
